"","numPoints","y2","y3","dy","dyy","dy2","dyy2","ydy","ydyy","NA"
"1",50,0,0.729761604098907,-0.0845875186995539,-0.257900464345109,0,0,0,0,NA
"2",100,0.0539100661661189,0.368731857877782,-0.117169105145767,-0.632480619665856,-0.011640429373349,-0.0637500323877149,0.0229269000063955,0,NA
"3",150,0.307574658129279,0.177108680109416,-0.105988689193612,-0.78858502377743,-0.124461357733323,0.253652635997538,0.0132479306433296,0.652398061236931,NA
"4",200,0.0875350277209296,0.436284277052856,-0.052632612762135,-0.593437474292827,0,0,0,0.100367667219681,NA
"5",250,0.321505060796675,0.151155912886666,-0.0648438677479376,-0.820024664116262,-0.1772180153145,0.433927392088748,-0.0188463836956942,0.858386081958007,NA
"6",300,0,0.546459828137622,-0.0241448364517988,-0.470292305211623,-0.0549399400993387,-0.0687782906754955,0.00271505336032164,0,NA
"7",350,0.227848164728796,0.319505658284214,-0.0405894458682546,-0.683799311869789,-0.085923935833059,0.337176748114595,0.0214503352619039,0.579461739662568,NA
"8",400,0.398571591347654,0.218621090664966,-0.0321166249925817,-0.787601458159926,-0.0288073123054366,0.373656790804442,-0.00783517312452158,0.801994970691175,NA
"9",450,0.243047087202938,0.28719793776259,-0.0276714876268494,-0.715583327799379,-0.0896121170387426,0.181246737643634,0.00888389483446772,0.492885734820172,NA
"10",500,0.160634096322391,0.368095814801628,-0.0182028530353039,-0.644430787865545,-0.0929411967317574,0.207242468689985,0.00342135900125467,0.444592130950082,NA
"11",550,0.236922644362332,0.274672921489119,-0.0214631296445428,-0.739817477329496,-0.111275799182205,0.343082236582307,-0.00559819843243157,0.660170259351246,NA
"12",600,0.402135565349243,0.130911122472631,-0.0286581836387401,-0.872832050367716,-0.0224498911597992,0.173094663220132,0.0248037512694802,0.596541921436824,NA
"13",650,0.46386803814989,0.29135369602742,-0.0158547209321938,-0.711343134179124,0.120196216398626,0.371305804288423,0.0123945274040203,0.702442716586621,NA
"14",700,0.496795992156029,0.363879521281271,-0.0107582149587128,-0.663757095492262,0.202256727340286,0.471836590214852,0.0143026786345443,0.721044714849974,NA
"15",750,0,0.416368421825483,-0.00335776915925382,-0.60363987845902,0,0,0.0061667232795951,0,NA
"16",800,0.253213447069643,0.184699465550586,-0.0253042592842909,-0.810010722400569,-0.180268369885722,0.341305727171244,0.000352858393613811,0.755054012286649,NA
"17",850,0.401412015044428,0.243334864824076,-0.0192504664990027,-0.769387742486839,-0.00287690863233843,0.424401949193652,0.00269467939088463,0.825752076380551,NA
"18",900,0.317407158418307,0.309657060527561,-0.00913087416586168,-0.690856211648385,0,0.294821154555678,0.00665489321348633,0.603981002531627,NA
"19",950,0.0779562451881447,0.535743200375285,-0.0012849851664435,-0.475250791540792,-0.0810830098270331,0.201699655810513,-0.00170044179785693,0.327934884794875,NA
"20",1000,0.410560990123236,0.253374711717155,0,-0.762076201837384,0.0542552190080351,0.537649035805306,0.0210904148925055,0.832311501270058,NA
